date,store_id,product_id,category,price,purchase_cost,units_sold,stock_on_hand,stock_received,reorder_flag,stockout_flag,holding_cost,revenue,cost,promotion_flag,lead_time,day_of_week,month
2024-11-27,40,76,Electronics,136.51,79.89,6,14,7,0,0,0.8,819.06,479.34000000000003,0,1,2,11
2023-12-06,31,195,Electronics,169.66,98.71,16,21,7,0,0,0.5,2714.56,1579.36,1,1,2,12
2023-04-21,38,168,Health,29.74,23.4,6,20,3,0,0,1.4000000000000001,178.44,140.39999999999998,0,6,4,4
2024-04-19,21,104,Health,47.8,27.83,7,12,7,0,0,0.5,334.59999999999997,194.81,0,7,4,4
2023-09-17,22,309,Health,34.82,25.54,1,4,8,1,0,0.30000000000000004,34.82,25.54,0,4,6,9
2024-10-21,3,458,Clothing,61.64,41.66,5,19,5,0,0,1.4000000000000001,308.2,208.29999999999998,0,3,0,10
2023-02-06,31,444,Health,132.8,85.75,3,10,7,0,0,0.7000000000000001,398.40000000000003,257.25,0,1,0,2
2024-05-21,37,348,Health,78.81,43.73,6,8,6,1,0,0.2,472.86,262.38,0,6,1,5
2023-07-08,36,301,Grocery,7.69,5.05,4,13,1,0,0,0.9,30.76,20.2,0,2,5,7
2024-10-08,12,454,Toys,79.84,70.17,10,13,7,0,0,0.30000000000000004,798.4000000000001,701.7,1,1,1,10
2023-09-28,5,248,Health,61.65,49.16,4,23,3,0,0,1.9000000000000001,246.6,196.64,1,4,3,9
2023-03-21,39,339,Clothing,94.33,62.34,4,8,4,1,0,0.4,377.32,249.36,0,1,1,3
2024-02-01,33,207,Grocery,33.0,18.9,4,12,5,0,0,0.8,132.0,75.6,0,6,3,2
2024-04-25,39,185,Home Appliances,129.01,66.51,2,9,6,1,0,0.7000000000000001,258.02,133.02,0,4,3,4
2023-11-12,7,263,Grocery,40.31,20.99,2,14,4,0,0,1.2000000000000002,80.62,41.98,0,4,6,11
2024-04-14,15,383,Toys,58.92,39.42,2,5,5,1,0,0.30000000000000004,117.84,78.84,0,5,6,4
2024-05-30,32,434,Toys,85.09,66.32,5,5,9,1,0,0.0,425.45000000000005,331.59999999999997,0,4,3,5
2023-06-12,46,288,Toys,195.74,97.96,2,8,0,1,0,0.6000000000000001,391.48,195.92,0,5,0,6
2024-03-31,27,446,Toys,63.98,37.72,7,10,8,0,0,0.30000000000000004,447.85999999999996,264.03999999999996,0,4,6,3
2024-10-06,35,471,Home Appliances,64.05,47.55,7,13,2,0,0,0.6000000000000001,448.34999999999997,332.84999999999997,1,6,6,10
2023-12-31,30,345,Electronics,87.04,76.66,4,11,9,0,0,0.7000000000000001,348.16,306.64,0,6,6,12
2024-07-02,16,89,Clothing,23.16,13.26,4,12,6,0,0,0.8,92.64,53.04,0,7,1,7
2023-02-16,21,451,Clothing,18.28,13.13,4,20,6,0,0,1.6,73.12,52.52,0,6,3,2
2024-06-02,35,36,Toys,107.87,59.79,2,8,9,1,0,0.6000000000000001,215.74,119.58,0,7,6,6
